url,title,price
https://catalog.onliner.by/robotcleaner/xiaomi/5prog20,"Робот-пылесос Xiaomi Robot Vacuum 5 Pro OV21GL + Пылесос Xiaomi Vacuum Cleaner G20 D205 (евровилка, белый)","3299,00 р."
https://catalog.onliner.by/robotcleaner/xiaomi/bhr089reu,"Робот-пылесос Xiaomi Robot Vacuum S40 Pro OV71GL (евровилка, белый)","от 1066,00 р."
https://catalog.onliner.by/robotcleaner/dreame/x50ultracomplete,"Робот-пылесос Dreame Robot Vacuum X50 Ultra Complete RLX85CE-4 (евровилка, черный)","от 3898,99 р."
https://catalog.onliner.by/robotcleaner/xiaomi/bhr0834eubhr7357,"Робот-пылесос Xiaomi Robot Vacuum 5 OV31GL (евровилка, белый) + Аэрогриль Xiaomi Smart Air Fryer 6.5L MAF10 (евровилка, черный)","2699,00 р."
https://catalog.onliner.by/robotcleaner/xiaomi/d102gl,"Робот-пылесос Xiaomi Robot Vacuum X20 Pro D102GL (международная версия, белый)","от 1719,00 р."
https://catalog.onliner.by/robotcleaner/dreame/rlx63ce2wh,"Робот-пылесос Dreame Robot Vacuum X40 Ultra complete RLX63CE-2 (международная версия, белый)","от 3399,00 р."
https://catalog.onliner.by/robotcleaner/dreame/rll74ce,"Робот-пылесос Dreame Robot Vacuum L40s Pro Ultra (евровилка, белый)","от 2949,00 р."
https://catalog.onliner.by/robotcleaner/dreame/rll22sewh,"Робот-пылесос Dreame Robot Vacuum L40s Ultra White RLL22SE (евровилка, белый)","2599,00 р."
https://catalog.onliner.by/robotcleaner/roborock/saros10rbl,"Робот-пылесос Roborock Saros 10R S91COP S10R52-02 (с русской озвучкой, черный)","от 4349,00 р."
https://catalog.onliner.by/robotcleaner/roborock/qrevocurvwhru,"Робот-пылесос Roborock Qrevo Curv V10VIV QRC02-02 (с русской озвучкой, белый)","от 3449,00 р."
https://catalog.onliner.by/robotcleaner/deerma/demx70,Робот-пылесос Deerma DEM-X70,"от 1369,00 р."
https://catalog.onliner.by/robotcleaner/deerma/dems30,Робот-пылесос Deerma DEM-S30,"от 759,00 р."
https://catalog.onliner.by/robotcleaner/dreame/f9prow,"Робот-пылесос Dreame F9 Pro (международная версия, белый)","от 548,06 р."
https://catalog.onliner.by/robotcleaner/xiaomi/bhr8159eu,"Робот-пылесос Xiaomi Robot Vacuum S20+ B108GL (международная версия, белый)","от 849,00 р."
https://catalog.onliner.by/robotcleaner/xiaomi/xiaomi5pro,"Робот-пылесос Xiaomi Robot Vacuum 5 Pro OV21GL (евровилка, белый)","3299,00 р."
https://catalog.onliner.by/robotcleaner/xiaomi/bhr9220eu,"Робот-пылесос Xiaomi Robot Vacuum X20 Max D109GL (евровилка, черный)","от 1797,00 р."
https://catalog.onliner.by/robotcleaner/xiaomi/s20wheu,"Робот-пылесос Xiaomi Robot Vacuum S20 D106 (европейская версия, белый)","от 549,00 р."
https://catalog.onliner.by/robotcleaner/xiaomi/bhr8124eu,Робот-пылесос Xiaomi Robot Vacuum X20+ (евровилка),"от 1499,00 р."
https://catalog.onliner.by/robotcleaner/xiaomi/bhr084aeu,"Робот-пылесос Xiaomi Robot Vacuum S40 OV81 (евровилка, белый)","от 665,24 р."
https://catalog.onliner.by/robotcleaner/xiaomi/m40d110cn,"Робот-пылесос Xiaomi Mijia Omni Robot Vacuum M40 D110CN (с переходником на евровилку, белый)","от 1548,00 р."
https://catalog.onliner.by/robotcleaner/xiaomi/bhr0834eu,"Робот-пылесос Xiaomi Robot Vacuum 5 OV31GL (евровилка, белый)","от 2699,00 р."
https://catalog.onliner.by/robotcleaner/dreame/rll77sewh,"Робот-пылесос Dreame Robot Vacuum L40 Ultra AE White RLL77SE (евровилка, белый)","от 2199,00 р."
https://catalog.onliner.by/robotcleaner/dreame/rld31se,"Робот-пылесос Dreame Robot Vacuum D20 Ultra White RLD31SE (евровилка, белый)","от 1595,65 р."
https://catalog.onliner.by/robotcleaner/dreame/robotvacuuml10sp,"Робот-пылесос Dreame Robot Vacuum L10s Pro Gen 2 RLL42SDA (международная версия, белый)","от 999,00 р."
https://catalog.onliner.by/robotcleaner/trouver/dreamee10w,"Робот-пылесос Trouver Robot Vacuum E10 (международная версия, белый)","от 248,61 р."
https://catalog.onliner.by/robotcleaner/xiaomi/h40ov51,Робот-пылесос Xiaomi Robot Vacuum H40 OV51,"от 999,00 р."
https://catalog.onliner.by/robotcleaner/xiaomi/bhr6783eu,Робот-пылесос Xiaomi Robot Vacuum E10 (европейская версия),"от 396,00 р."
https://catalog.onliner.by/robotcleaner/hobot/legeed8lulu,Робот-пылесос Hobot Legee-D8 LuLu,"от 2180,32 р."
https://catalog.onliner.by/robotcleaner/xiaomi/robotvacuume5bhr,Робот-пылесос Xiaomi Robot Vacuum E5 (белый),"от 339,65 р."
https://catalog.onliner.by/robotcleaner/dreame/rld52sewh,"Робот-пылесос Dreame Robot Vacuum L40 Ultra CE White RLD52SE (евровилка, белый)","от 1899,00 р."
